Precipitacao,Umidade,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Energia
9.2,79,8,31.6,18.4,193,18,20,21,22,22,23,11.86
11.9,87, 7.66667,23,15.8,203,17,17,17,18,20,22,7.97
0,78.25, 4.33333,25,15,213,17,17,21,22,22,25,13.29
0,77.5, 2.66667,25.6,12.2,223,17,20,22,22,25,26,14.73
0,84.5, 6.33333,30.8,16.6,233,17,20,22,25,27,28,12.65
64.8,89.5, 8.66667,27.4,18.8,243,26,23,20,20,18,18,0.61
0,82.5, 9.66667,21.6,16.4,253,18,18,18,20,20,20,8.13
0,78,4,22,10.8,263,15,17,18,21,21,22,15.27
0,86,9,24.8,18.2,273,22,22,25,23,25,25,9.19
0,84.5,8,28.4,20,283,22,22,23,25,26,27,11
0,86,9,29.2,20.8,293,21,22,23,26,27,27,12.31
0,85.75, 6.33333,28.8,19.8,303,22,22,23,26,27,27,9.49
0.6,95.75,10,24.6,20.6,313,22,21,21,22,22,22,1.69
22.5,90.25, 9.33333,27.4,20.4,14,21,22,22,25,26,27,6.22
11.2,86.25,9,26.2,19.6,24,20,22,22,23,26,25,10.65
0,86.25, 3.33333,28.6,17.8,34,22,23,25,26,26,26,13.87
3.1,90.25,8,26.8,18.2,44,20,21,21,25,26,26,10.7
0,88, 4.66667,27.4,17.8,54,17,18,21,23,26,27,11.72
0,83.75,4,27.4,16,64,17,17,18,23,26,27,14.79
0,81,5,31,15.8,74,17,20,23,27,28,30,14.48
0,76, 2.66667,31.2,17.4,84,18,23,27,28,31,31,13.86
0,79.25, 6.33333,31.2,19.6,94,23,26,27,30,30,31,13.2
0,70.75, 6.66667,33.4,20,104,23,26,27,32,32,32,13
0,64,3,35.4,20.2,114,26,28,31,32,33,35,13.68
0,66.75, 2.66667,35,23.4,124,28,31,32,33,33,35,13.37
8.9,90.5, 9.33333,26.2,17.8,134,17,17,17,17,18,18,1.53
2.3,89.5,10,19.6,16.6,144,17,17,17,17,17,17,2.22
0.1,80.75,5,25.2,14.8,154,17,18,22,23,25,25,13.86
0,79,0,26.6,16.6,164,18,22,23,25,26,27,14.03
0,72.5, 1.33333,28.6,16,174,22,23,25,26,27,27,13.63
0,75.75, 2.66667,31.4,15.8,184,22,26,27,27,30,31,12.75
0,73.25,2,32.2,17.6,194,23,27,28,30,31,32,12.8
18.2,79.5, 4.33333,32.4,17.8,204,25,27,31,31,32,31,9.6
100.4,96.25, 9.33333,23.8,19.8,214,20,20,20,20,21,21,1.79
0,86.5, 4.33333,31.4,19,224,23,26,27,28,30,30,12.26
0,92.5, 6.66667,26.8,20.6,234,23,22,22,22,23,25,3.85
0,93, 7.66667,26.8,20.2,244,22,22,23,25,25,27,5.04
0,94, 9.33333,27.2,20.8,254,21,22,22,25,27,27,6.3
0,91.25,9,26,19.8,264,21,22,22,22,25,26,6.12
0,89.75,10,29.2,20,274,20,21,22,26,27,28,6.05
0,86.75, 4.33333,31.4,17.8,284,22,23,27,28,30,32,10.65
0,81.5, 6.66667,32.8,18.2,294,20,23,27,28,31,32,11.14
0.9,90.25,10,24.4,20,304,21,21,22,22,22,22,1.38
0.4,90.75,10,20.6,18.6,15,20,20,20,20,20,18,1.84
0,90,10,22.4,17.2,25,17,20,21,22,22,22,5.27
4.1,94, 6.66667,21.6,19,35,20,20,21,22,21,21,1.43
5.2,89.25, 9.66667,26.8,17.8,45,22,22,25,26,27,26,8.53
